
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
309) 960610_G    12.072        0.037              91.835              3.364
310) 950313_G    11.980        0.037              91.872              0.129
311) 960681_G    11.809        0.036              91.909              0.753
312) 960729_G    11.802        0.036              91.945              4.015
313) 93099_GP    11.793        0.036              91.982              0.537
314) 93084_GP    11.781        0.036              92.018              0.467
315) 960773_G    11.720        0.036              92.054              0.583
316) 950212_G    11.683        0.036              92.090              0.295
317) 950223_G    11.602        0.036              92.126              0.411
318) 950264_G    11.580        0.036              92.162              0.972
319) 960556_G    11.560        0.036              92.198              6.080
320) 93103_GP    11.559        0.036              92.233              1.391
321) 970784_G    11.523        0.036              92.269              1.161
322) 940011_G    11.500        0.036              92.304              2.005
323) 950301_G    11.450        0.035              92.340              0.781
324) 960518_G    11.426        0.035              92.375              1.828
325) 970797_G    11.423        0.035              92.410              0.528
326) 950144_G    11.391        0.035              92.445              0.472
327) 950263_G    11.366        0.035              92.481              1.022
328) B014_GPS    11.309        0.035              92.515              1.234
329) 960621_G    11.234        0.035              92.550              2.080
330) 960582_G    11.231        0.035              92.585              0.203
331) 93076_GP    11.215        0.035              92.619              0.617
332) 950271_G    11.201        0.035              92.654              0.628
333) 950375_G    11.182        0.035              92.689              0.744
334) 950303_G    11.149        0.034              92.723              0.841
335) 950433_G    11.102        0.034              92.757              0.585
336) 950183_G    11.064        0.034              92.791              0.909
337) 950221_G    10.982        0.034              92.825              5.037
338) 93069_GP    10.938        0.034              92.859              0.811
339) 960702_G    10.807        0.033              92.892              0.874
340) 960592_G    10.790        0.033              92.926              0.889
341) 940070_G    10.715        0.033              92.959              0.111
342) 960774_G    10.702        0.033              92.992              1.094
343) 950432_G    10.674        0.033              93.025              0.249
344) 950435_G    10.587        0.033              93.057              1.504
345) 970828_G    10.576        0.033              93.090              1.103
346) 950276_G    10.527        0.032              93.123              0.278
347) 950213_G    10.485        0.032              93.155              0.316
348) 950211_G    10.454        0.032              93.187              0.673
349) 960725_G    10.430        0.032              93.219              0.741
350) 950423_G    10.404        0.032              93.252              0.141
351) 940061_G    10.401        0.032              93.284              0.892
352) 940043_G    10.381        0.032              93.316              0.393
353) 93102_GP    10.359        0.032              93.348              0.950
354) 960507_G    10.323        0.032              93.380              2.135
355) 93070_GP    10.308        0.032              93.411              0.544
356) 960581_G    10.308        0.032              93.443              0.369
357) 950163_G    10.260        0.032              93.475              0.634
358) B061_GPS    10.239        0.032              93.507              1.853
359) 93071_GP    10.202        0.031              93.538              1.583
360) 93022_GP    10.166        0.031              93.569              0.164
361) 950205_G    10.141        0.031              93.601              0.116
362) 960511_G    10.130        0.031              93.632              2.453
363) 950201_G    10.122        0.031              93.663              0.551
364) 93061_GP    10.086        0.031              93.694              0.760
365) 940045_G    10.065        0.031              93.725              0.357
366) 950479_G    10.059        0.031              93.756              4.166
367) 950214_G    10.026        0.031              93.787              0.391
368) 940007_G    10.023        0.031              93.818              3.981
369) 950170_G    9.987        0.031              93.849              0.209
370) 960728_G    9.977        0.031              93.880              2.782
371) 960675_G    9.932        0.031              93.911              0.310
372) 960593_G    9.929        0.031              93.941              0.632
373) 950493_G    9.905        0.031              93.972              2.364
374) 960636_G    9.903        0.031              94.002              0.070
