name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"eu_phil_1abaaba             ",135.157,32.594,135.285,32.609,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abaabb             ",135.285,32.609,135.487,32.616,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababaaa            ",135.487,32.616,135.859,32.669,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababaab            ",135.859,32.669,136.103,32.729,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababab             ",136.103,32.729,136.29,32.796,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababba             ",136.29,32.796,136.422,32.805,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababbba            ",136.422,32.805,136.508,32.83,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababbbba           ",136.508,32.83,136.793,32.941,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababbbbba          ",136.793,32.941,136.902,33.001,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1ababbbbbb          ",136.902,33.001,137.078,33.045,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbaa              ",137.078,33.045,137.24,33.174,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbab              ",137.24,33.174,137.45,33.253,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbbaa             ",137.45,33.253,137.652,33.35,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbbab             ",137.652,33.35,137.72,33.372,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbbba             ",137.72,33.372,137.803,33.438,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbbbba            ",137.803,33.438,137.915,33.563,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abbbbbb            ",137.915,33.563,138.058,33.669,160,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1baaa               ",138.058,33.669,138.178,33.785,155,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1baab               ",138.178,33.785,138.362,33.885,155,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
