
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
456) EA40_GPS    327.316        0.031              90.943              5.846
457) WIDC_GPS    324.356        0.031              90.973              0.798
458) CAS2_GPS    324.228        0.031              91.004              8.317
459) GRND_GPS    322.222        0.031              91.035              4.993
460) P502_PBO    320.949        0.030              91.065              7.137
461) ROSE_GPS    320.355        0.030              91.095              1.162
462) HUR2_GPS    320.108        0.030              91.126              5.362
463) MILU_GLA    320.056        0.030              91.156              4.774
464) SUNS_GPS    319.925        0.030              91.186              9.119
465) ROUN_GPS    319.627        0.030              91.217              4.052
466) VAC3_GPS    319.142        0.030              91.247              3.103
467) P423_PBO    317.423        0.030              91.277              3.855
468) P509_PBO    316.629        0.030              91.307              8.513
469) P594_PBO    316.421        0.030              91.337              2.617
470) GUS2_PBO    313.853        0.030              91.367              7.610
471) P547_PBO    311.872        0.030              91.396              3.334
472) AB48_PBO    311.339        0.029              91.426              11.294
473) FRAN_GPS    310.887        0.029              91.455              5.867
474) APSA_GPS    308.203        0.029              91.484              3.180
475) P256_PBO    307.868        0.029              91.513              3.876
476) FZHS_GPS    306.534        0.029              91.542              5.455
477) LASS_GPS    305.739        0.029              91.571              2.948
478) SLBB_GPS    305.596        0.029              91.600              12.745
479) DECH_GPS    305.055        0.029              91.629              6.469
480) PACH_GPS    303.977        0.029              91.658              7.122
481) PARK_GPS    302.827        0.029              91.687              6.658
482) YBHB_GPS    302.580        0.029              91.715              0.778
483) P537_PBO    302.436        0.029              91.744              4.022
484) FERN_PBO    300.227        0.028              91.772              3.683
485) P305_PBO    299.991        0.028              91.801              4.906
486) SIS3_GPS    297.995        0.028              91.829              13.374
487) BLK4_GPS    295.989        0.028              91.857              1.353
488) GLDH_GPS    295.846        0.028              91.885              4.352
489) P020_PBO    295.790        0.028              91.913              3.791
490) REST_GPS    295.213        0.028              91.941              4.842
491) P228_PBO    295.026        0.028              91.969              3.786
492) J976_GPS    294.849        0.028              91.997              1.432
493) ONIE_GPS    292.891        0.028              92.025              4.050
494) WED2_GPS    285.590        0.027              92.052              8.256
495) PHLB_PBO    285.552        0.027              92.079              6.325
496) CPBN_PBO    285.366        0.027              92.106              4.258
497) MILS_GPS    284.166        0.027              92.133              8.935
498) L587_GPS    284.054        0.027              92.160              6.253
499) SPRO_GPS    283.287        0.027              92.187              3.299
500) BEPK_PBO    282.941        0.027              92.213              5.623
501) 0818_GPS    279.549        0.026              92.240              4.649
502) HANS_GPS    278.868        0.026              92.266              5.253
503) H104_GPS    277.757        0.026              92.293              3.455
504) P499_PBO    277.167        0.026              92.319              7.164
505) ARGU_GLA    276.091        0.026              92.345              1.400
506) HILL_GPS    273.554        0.026              92.371              7.435
507) P380_PBO    273.260        0.026              92.397              1.136
508) TAHU_GPS    271.926        0.026              92.423              4.642
509) SD15_GPS    271.436        0.026              92.448              1.341
510) AIS1_PBO    270.061        0.026              92.474              4.186
511) CURT_GPS    269.957        0.026              92.499              4.895
512) MOJ1_GPS    269.670        0.026              92.525              1.792
513) P257_PBO    269.465        0.026              92.551              2.703
514) MOJM_GPS    269.439        0.026              92.576              1.793
515) ALLI_GPS    269.325        0.026              92.602              8.309
516) VASO_GPS    269.102        0.025              92.627              11.931
517) P276_PBO    268.963        0.025              92.653              4.835
518) P208_GPS    268.399        0.025              92.678              5.240
519) P181_PBO    266.630        0.025              92.703              14.723
520) A479_GPS    266.351        0.025              92.728              6.477
